"","Genotype","whole_height(ck)","whole_height(salt)","whole_height(salt/ck)","whole_weight(ck)","whole_weight(salt)","whole_weight(salt/ck)","shoot_height(ck)","shoot_height(salt)","shoot_height(salt/ck)","shoot_weight(ck)","shoot_weight(salt)","shoot_weight(salt/ck)","root_length(ck)","root_length(salt)","root_length(salt/ck)","root_weight(ck)","root_weight(salt)","root_weight(salt/ck)","shoot_ABA(ck)","shoot_ABA(salt)","shoot_ABA(salt/ck)","root_ABA(ck)","root_ABA(salt)","root_ABA(salt/ck)","shoot_SA(ck)","shoot_SA(salt)","shoot_SA(salt/ck)","root_SA(ck)","root_SA(salt)","root_SA(salt/ck)","shoot_ACC(ck)","shoot_ACC(salt)","shoot_ACC(salt/ck)","root_ACC(ck)","root_ACC(salt)","root_ACC(salt/ck)","shoot_JA(ck)","shoot_JA(salt)","shoot_JA(salt/ck)","root_JA(ck)","root_JA(salt)","root_JA(salt/ck)","shoot_JA-ILE(ck)","shoot_JA-ILE(salt)","shoot_JA-ILE(salt/ck)","root_JA-ILE(ck)","root_JA-ILE(salt)","root_JA-ILE(salt/ck)","shoot_OPDA(ck)","shoot_OPDA(salt)","shoot_OPDA(salt/ck)","root_OPDA(ck)","root_OPDA(salt)","root_OPDA(salt/ck)","shoot_tz(ck)","shoot_tz(salt)","shoot_tz(salt/ck)","root_tz(ck)","root_tz(salt)","root_tz(salt/ck)","shoot_tzr(ck)","shoot_tzr(salt)","shoot_tzr(salt/ck)","root_tzr(ck)","root_tzr(salt)","root_tzr(salt/ck)","shoot_Na(ck)","shoot_Na(salt)","shoot_Na(salt/ck)","shoot_K(ck)","shoot_K(salt)","shoot_K(salt/ck)"
"1","04K5672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"2","04K5686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"3","04K5702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"4","05W002","52","49.5","0.951923077","2.06","1.435","0.696601942","25.5","16.33333333","0.640522876","1.195","0.765","0.640167364","26.5","20.5","0.773584906","0.875","0.6775","0.774285714","1.21502209131075","0.969154846335698",0.797643806862957,"6.81818181818182","0.131233595800525",0.0192475940507437,"2.79823269513991","24.3096926713948",8.68751648625109,"3.70553359683795","1.41076115485564",0.380717410323708,"17.9675994108984","175.236406619385",9.75291148316084,"361.363636363636","153.051181102362",0.423537859654336,"6.00147275405007","0.236406619385343",0.0393914342485026,"66.897233201581","2.06692913385827",0.0308970795194176,"3.68188512518409","1.2285975177305",0.333687085815604,"104.940711462451","4.39632545931759",0.041893421514401,"0.643636229749632","0.812135933806147",1.26179337996877,"0.899209486166008","0.0656167979002625",0.0729716477747974,"0.589101620029455","2.83687943262411",4.81560283687943,"4.1501976284585","3.80577427821522",0.917010373703286,"3.71870397643594","4.90543735224586",1.31912552957423,"48.0731225296443","44.4225721784777",0.924062549735239,"0.23963133640553","11.1025641025641","0.021583422909505","42.0691244239631","50.2051282051282","1.19339608067837"
"5","05WN230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA",NA,"NA","NA","NA","NA","NA","NA"
"6","07KS4","39.83333333","18","0.451882845","1.826666667","1.436666667","0.78649635","23","19.66666667","0.855072464","0.793333333","0.543333333","0.68487395","16.83333333","15.66666667","0.930693069","1.036666667","0.893333333","0.861736334","10.6420404573439","10.377358490566",0.975128644939961,"9.4775212636695","1.58343483556638",0.167072675598863,"37.3790677220756","13.0503144654088",0.349134295227525,"9.72053462940462","4.81120584652862",0.494952801461632,"2077.66051011434","974.724842767296",0.469145386371931,"5594.04617253949","1346.83313032887",0.240761890193241,"75.5936675461741","5.62106918238994",0.0743589954668687,"83.9611178614824","1.21802679658953",0.0145070340606828,"6.64028144239226","4.44182389937107",0.668921029613895,"27.6427703523694","4.56760048721072",0.165236712130744,"13.9401934916447","0.275157232704403",0.0197384084280698,"1.21506682867558","19.305724725944",15.8886114494519,"2.5065963060686","1.53301886792453",0.611593843098313,"2.3086269744836","1.09622411693057",0.474838130649399,"9.19085312225154","13.4433962264151",1.46269296740995,"64.4592952612394","292.509135200974",4.53788912856553,"NA","20.6081081081081","NA","NA","46.2837837837838","NA"
"7","1323","58.425","56.23333333","0.96248752","1.853333333","1.526666667","0.823741007","28","24.93333333","0.89047619","1.246666667","0.93","0.745989305","23.9","17.8","0.744769874","0.606666667","0.596666667","0.983516484","7.5","1.63265306122449",0.217687074829932,"24.9588815789474","30.65",1.22801976935749,"16.1","2.99319727891156",0.185912874466556,"9.70394736842105","34.45",3.55010169491526,"847.2","559.489795918367",0.660398720394673,"1452.46710526316","1193.9",0.821980749631977,"68.25","0.510204081632653",0.00747551767959931,"108.059210526316","100.95",0.934210045662099,"3.15","1.7687074829932",0.56149443904546,"57.9358552631579","7.05",0.121686302342087,"104.05","1.93564680272109",0.0186030447162046,"3.9159258106203","1.55",0.395819551993625,"0.75","2.00680272108844",2.67573696145125,"2.71381578947368","3.25",1.19757575757576,"2.85","3.94557823129252",1.3844134144886,"50.0822368421053","30.85",0.615986863711001,"NA","5.6205035971223","NA","44.2743445692884","68.5251798561151","1.54774013083073"
"8","1462","46.75","45.25","0.967914439","1.7975","2.145","1.193324061","24.875","21.66666667","0.871021776","0.9625","1.07","1.111688312","21.625","24.5","1.132947977","0.8325","1.07","1.285285285","20.5882352941176","7.06638115631692",0.343224227592537,"5.01263689974726","46.6124661246612",9.29899114117191,"8.68778280542987","5.60314061384725",0.644944831073042,"5.43386689132266","17.9765130984643",3.3082358213763,"1489.86425339367","706.745182012848",0.474368842935185,"1185.97304128054","903.748870822041",0.762031546557103,"32.6696832579185","5.17487508922198",0.158399916165936,"81.3395113732098","173.667570009033",2.13509482755797,"11.9004524886878","1.35617416131335",0.113959881996293,"8.55096882898062","6.68473351400181",0.78175159419903,"9.36651583710407","0.509926266952177",0.0544414033799184,"0.14743049705139","15.4923215898826",105.082204155375,"2.26244343891403","1.89150606709493",0.836045681655958,"2.56950294860994","6.18789521228546",2.40820708753536,"8.77828054298643","9.35046395431834",1.0651817185074,"97.9359730412805","79.5392953929539",0.812156074248915,"0.226495726495726","6.48148148148148","0.0349450549450549","31.2521367521367","45.1445347786811","1.44452634188587"
"9","150","43.41666667","46.26666667","1.065642994","1.186666667","1.223333333","1.030898876","26.35","28.66666667","1.087919039","0.81","0.773333333","0.95473251","17.06666667","17.6","1.03125","0.376666667","0.45","1.194690265","9.34959349593496","5.30821917808219",0.567748659916617,"21.04532839963","27.8290993071594",1.32234093850722,"10.3948896631823","2.05479452054794",0.197673528736512,"26.31822386679","11.431870669746",0.434370903128135,"217.015098722416","422.645547945206",1.94753982756661,"426.086956521739","1417.95612009238",3.32785620021681,"7.25900116144019","0.171232876712329",0.0235890410958904,"15.4024051803885","16.2817551963049",1.0570917337661,"5.92334494773519","0.155817893835616",0.0263057267828364,"44.8658649398705","3.00230946882217",0.0669174543463251,"1.04529616724739","0.0504622431506849",0.0482755459474884,"0.508788159111933","0.808314087759815",1.58870459794247,"2.26480836236934","2.01198630136986",0.888369336143307,"1.7113783533765","2.77136258660508",1.61937457087573,"5.28455284552846","4.06678082191781",0.769560063224446,"25.2081406105458","109.642032332564",4.34946924592667,"NA","6.5609756097561","NA","48.7597276264591","45.5609756097561","0.934397664375647"
"10","177","41.05","39.9","0.971985384","1.3225","1.2775","0.965973535","25.325","25.95","1.024679171","0.8825","0.835","0.946175637","15.725","13.95","0.887122417","0.44","0.4425","1.005681818","3.15126050420168","4.31201550387597",1.36834625322997,"10.9125117591722","17.2689075630252",1.58248696030135,"5.3921568627451","3.05232558139535",0.566067653276956,"41.0159924741298","6.21848739495798",0.151611286716521,"137.920168067227","190.843023255814",1.38372093023256,"969.61429915334","326.176470588235",0.336398164582608,"10.5742296918768","0.242248062015504",0.02290928692438,"16.8391345249294","2.18487394957983",0.129749777005775,"4.57046446078431","0.790661724806202",0.172993736542592,"14.8165569143932","17.6890756302521",1.19387221555289,"3.36134453781513","0.14663992248062",0.0436253769379844,"0.166216435962908","0.235294117647059",1.41558875501076,"0.735294117647059","1.45348837209302",1.97674418604651,"1.92850423330198","3.19327731092437",1.65583111293297,"2.24089635854342","4.21511627906977",1.88099563953488,"45.2492944496707","14.8739495798319",0.328711193417075,"2.26027397260274","11.0610610610611","0.204345131097749","NA","56.0810810810811","NA"
"11","18-599","41.33333333","27.75","0.671370968","1.25","0.725","0.58","21.25","14.66666667","0.690196078","0.743333333","0.3525","0.474215247","18.33333333","12.25","0.668181818","0.503333333","0.3725","0.740066225","8.36820083682008","6.51223776223776",0.778212412587413,"3.16934720908231","0.880704563650921",0.277882007098216,"34.8849372384937","23.9073426573427",0.685319927448865,"9.60264900662252","7.72618094475581",0.804588498384915,"238.702928870293","412.674825174825",1.72882179170523,"664.049195837275","676.140912730184",1.01820906789543,"56.7991631799163","6.68706293706294",0.117731715798014,"83.9640491958373","5.564451561249",0.0662718343689036,"12.7092050209205","8.69755244755245",0.684350628795074,"85.0993377483444","29.0632506004804",0.341521466200198,"82.8451882845188","0.262237762237762",0.00316539521084975,"0.0946073793755913","1.34507606084868",14.2174539631705,"0.889121338912134","4.06468531468532",4.5715754833402,"2.41248817407758","2.28182546036829",0.945839024160502,"7.00836820083682","4.8513986013986",0.692229412378666,"18.8741721854305","15.6925540432346",0.831430056325761,"NA","14.2950391644909","NA","NA","37.434725848564","NA"
